TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2024-12-23 08:28:00,25.9,25.9,44.4,0.0,1012.0,16,1,3.0,0.0,0.0,0.0,0.0,0.0
2024-12-23 11:08:00,25.2,25.3,43.5,0.0,1012.0,23,1,3.0,0.0,0.0,0.0,0.0,0.0
2024-12-23 11:38:00,24.6,24.5,40.7,0.0,1012.0,26,1,3.0,0.0,0.0,0.0,0.0,0.0
2024-12-23 12:08:00,24.5,24.4,41.1,0.0,1012.0,36,1,3.0,0.0,0.0,0.0,0.0,0.0
2024-12-27 16:20:00,24.5,24.3,41.2,0.0,1012.0,90,1,3.0,0.0,0.0,0.0,0.0,0.0
2024-12-27 16:24:00,23.9,23.8,41.5,0.0,1012.0,86,1,3.0,0.0,0.0,0.0,0.0,0.0
2024-12-27 16:26:00,26.1,26.0,46.6,33.3,1012.0,93,1,3.0,1.3,2.0,5.4,5.3,0.0
2024-12-27 16:41:00,28.4,28.3,51.4,66.7,1012.0,2360,1,3.0,2.5,4.0,10.9,10.7,1.0
2024-12-27 16:46:00,30.3,29.8,57.0,100.0,1012.0,1976,1,3.0,3.7,5.8,15.9,15.6,0.3
2024-12-27 18:16:00,29.8,28.9,58.4,100.0,1012.0,36,1,3.0,3.7,5.7,15.5,15.2,1.3
2024-12-27 19:16:00,29.3,27.9,60.6,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,0.3
2024-12-27 20:15:00,29.0,27.7,62.2,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,0.4
2024-12-27 20:45:00,29.1,27.5,62.4,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,0.4
2024-12-27 21:15:00,29.1,27.5,62.1,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,0.0
2024-12-27 21:45:00,29.2,27.5,61.6,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,15.0,1.2
2024-12-27 22:15:00,29.2,27.6,61.7,100.0,1012.0,33,1,3.0,3.6,5.6,15.3,15.0,0.7
2024-12-27 22:45:00,29.2,27.5,61.0,100.0,1012.0,33,1,3.0,3.6,5.6,15.3,15.0,1.7
2024-12-27 23:15:00,29.0,27.5,61.2,100.0,1012.0,33,1,3.0,3.6,5.6,15.3,15.0,0.7
2024-12-27 23:45:00,28.7,27.4,62.1,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,15.0,1.1
2024-12-28 00:15:00,28.4,27.2,63.3,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,1.7
2024-12-28 00:45:00,28.2,27.0,63.7,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,0.7
2024-12-28 01:15:00,28.0,26.9,63.5,100.0,1012.0,33,1,3.0,3.6,5.6,15.2,14.9,0.5
2024-12-28 01:45:00,27.8,26.7,64.1,100.0,1012.0,33,1,3.0,3.6,5.5,15.0,14.7,1.5
2024-12-28 02:15:00,27.5,26.5,65.5,100.0,1012.0,33,1,3.0,3.5,5.4,14.8,14.5,0.6
2024-12-28 02:45:00,27.2,26.3,67.2,100.0,1012.0,33,1,3.0,3.5,5.3,14.6,14.3,0.0
2024-12-28 03:15:00,26.8,25.9,69.1,100.0,1012.0,33,1,3.0,3.4,5.3,14.4,14.1,1.2
2024-12-28 04:44:00,26.3,25.6,71.5,100.0,1012.0,33,1,3.0,3.4,5.2,14.3,14.0,0.3
2024-12-28 05:14:00,25.7,25.3,74.1,100.0,1012.0,33,1,3.0,3.4,5.1,14.1,13.8,0.0
2024-12-28 05:44:00,25.3,25.0,76.2,100.0,1012.0,0,1,3.0,3.4,5.1,14.1,13.8,0.3
2024-12-28 06:14:00,25.2,24.8,75.8,100.0,1012.0,0,1,3.0,3.3,5.0,13.9,13.7,0.6
2024-12-28 06:44:00,25.3,24.6,74.6,100.0,1012.0,190,1,3.0,3.3,5.0,13.9,13.6,1.2
2024-12-28 07:14:00,25.6,24.7,72.2,100.0,1012.0,1446,1,3.0,3.3,5.0,13.9,13.7,1.1
2024-12-28 07:44:00,26.1,24.9,69.7,100.0,1012.0,3096,1,3.0,3.4,5.1,14.1,13.8,1.2
2024-12-28 08:14:00,26.9,25.4,66.2,100.0,1012.0,5103,1,3.0,3.4,5.2,14.4,14.1,0.6
2024-12-28 08:44:00,28.2,26.4,61.8,100.0,1012.0,10630,1,3.0,3.5,5.4,14.8,14.5,0.5
2024-12-28 09:14:00,30.7,29.7,54.1,100.0,1012.0,16410,1,3.0,3.8,6.1,16.3,16.0,2.1
2024-12-28 10:44:00,33.8,33.7,46.0,100.0,1012.0,41393,1,3.0,4.2,6.8,17.9,17.6,1.9
2024-12-28 11:14:00,35.8,37.7,41.2,100.0,1012.0,52246,1,3.0,4.5,7.4,19.4,19.2,1.4
2024-12-28 11:44:00,34.9,38.2,43.8,100.0,1012.0,54612,1,3.0,4.5,7.5,19.5,19.3,0.2
2024-12-28 13:14:00,33.0,37.7,48.4,100.0,1012.0,18010,1,3.0,4.5,7.4,19.4,19.1,1.5
2024-12-28 13:44:00,31.7,35.3,51.6,100.0,1012.0,7916,1,3.0,4.3,7.0,18.5,18.2,1.4
2024-12-28 14:44:00,31.4,33.5,52.3,100.0,1012.0,5100,1,3.0,4.2,6.7,17.8,17.6,1.3
2024-12-28 15:14:00,31.3,31.5,52.6,100.0,1012.0,4280,1,3.0,4.0,6.4,17.1,16.8,1.8
2024-12-28 15:43:00,30.8,30.7,53.1,100.0,1012.0,4073,1,3.0,3.9,6.3,16.8,16.6,1.0
2024-12-28 16:14:00,30.6,30.2,53.5,100.0,1012.0,3223,1,3.0,3.9,6.2,16.7,16.4,1.3
2024-12-28 16:44:00,30.1,29.8,54.9,100.0,1012.0,1650,1,3.0,3.9,6.2,16.5,16.3,2.5
2024-12-28 17:14:00,29.9,29.3,55.7,100.0,1012.0,856,1,3.0,3.8,6.1,16.4,16.1,0.4
2024-12-28 17:44:00,29.5,28.7,57.4,100.0,1012.0,253,1,3.0,3.8,6.0,16.2,15.9,0.6
2024-12-28 19:13:00,29.1,28.2,58.1,100.0,1012.0,33,1,3.0,3.8,5.9,16.0,15.7,1.2
2024-12-28 20:13:00,28.8,27.8,59.4,100.0,1012.0,33,1,3.0,3.7,5.9,15.9,15.6,0.0
2024-12-28 20:43:00,28.7,27.6,59.5,100.0,1012.0,33,1,3.0,3.7,5.8,15.8,15.5,0.0
2024-12-28 21:13:00,28.6,27.5,59.7,100.0,1012.0,33,1,3.0,3.7,5.8,15.8,15.5,0.5
2024-12-28 21:43:00,28.6,27.4,59.7,100.0,1012.0,33,1,3.0,3.7,5.8,15.8,15.5,1.1
2024-12-28 22:13:00,28.5,27.3,59.6,100.0,1012.0,33,1,3.0,3.7,5.8,15.7,15.4,1.4
2024-12-28 22:43:00,28.3,27.1,60.2,100.0,1012.0,33,1,3.0,3.7,5.8,15.6,15.3,2.5
2024-12-28 23:13:00,27.9,26.8,62.1,100.0,1012.0,33,1,3.0,3.7,5.7,15.5,15.2,1.6
2024-12-28 23:43:00,27.6,26.5,63.0,100.0,1012.0,33,1,3.0,3.6,5.6,15.4,15.1,1.6
2024-12-29 00:13:00,27.3,26.3,63.1,100.0,1012.0,33,1,3.0,3.6,5.6,15.3,15.0,0.5
2024-12-29 00:43:00,27.2,26.1,61.9,100.0,1012.0,33,1,3.0,3.6,5.6,15.3,15.0,0.0
2024-12-29 01:13:00,26.8,25.9,61.8,100.0,1012.0,33,1,3.0,3.6,5.6,15.1,14.9,0.8
2024-12-29 02:12:00,26.4,25.5,63.4,100.0,1012.0,33,1,3.0,3.5,5.5,15.0,14.7,0.0
2024-12-29 03:12:00,25.9,25.2,65.1,100.0,1012.0,33,1,3.0,3.5,5.4,14.8,14.5,0.0
2024-12-29 03:42:00,25.5,24.9,66.7,100.0,1012.0,33,1,3.0,3.5,5.4,14.7,14.4,0.6
2024-12-29 04:12:00,25.2,24.6,66.3,100.0,1012.0,33,1,3.0,3.5,5.3,14.6,14.3,1.2
2024-12-29 05:12:00,24.8,24.3,65.8,100.0,1012.0,33,1,3.0,3.4,5.2,14.4,14.1,0.9
2024-12-29 05:42:00,24.5,23.9,65.7,100.0,1012.0,0,1,3.0,3.4,5.2,14.3,14.0,1.2
2024-12-29 06:12:00,24.3,23.7,65.8,100.0,1012.0,0,1,3.0,3.4,5.2,14.2,13.9,0.2
2024-12-29 06:42:00,24.2,23.5,65.2,100.0,1012.0,173,1,3.0,3.4,5.1,14.1,13.8,0.9
2024-12-29 07:12:00,24.2,23.5,63.8,100.0,1012.0,1403,1,3.0,3.4,5.1,14.1,13.8,1.4
2024-12-29 07:42:00,24.5,23.6,61.6,100.0,1012.0,3320,1,3.0,3.4,5.1,14.2,13.9,1.7
2024-12-29 08:12:00,24.7,24.0,59.8,100.0,1012.0,4700,1,3.0,3.4,5.2,14.3,14.1,1.8
2024-12-29 08:42:00,25.2,24.5,58.1,100.0,1012.0,6193,1,3.0,3.5,5.3,14.6,14.3,1.7
2024-12-29 09:12:00,26.0,25.3,56.0,100.0,1012.0,8643,1,3.0,3.6,5.5,15.0,14.8,1.4
2024-12-29 09:41:00,27.5,28.1,52.0,100.0,1012.0,14616,1,3.0,3.8,6.0,16.2,16.0,0.1
2024-12-29 10:42:00,30.0,31.7,46.2,100.0,1012.0,29646,1,3.0,4.1,6.7,17.7,17.4,1.4
2024-12-29 11:12:00,31.8,35.8,42.6,100.0,1012.0,49193,1,3.0,4.4,7.3,19.3,19.1,1.6
